Family,Species,Taxa,Status,Frugivore,Source,Note,Body mass,mass source,number of islands
Solenodontidae,Solenodon cubanus,mammal,1,1,Turvey et al. 2017,,900,Smith et al. 2003,
Solenodontidae,Solenodon paradoxus,mammal,1,1,Turvey et al. 2017,,650,Smith et al. 2003,
Phyllostomidae,Stenoderma rufum,mammal,1,1,Morgan 2001,,20.7,Smith et al. 2003,
Phyllostomidae,Sturnira lilium,mammal,1,1,"Timm and Genoways, 2003",,19.1,Smith et al. 2003,
Teiidae,Ameiva ameiva,reptile,1,1,Valido and Olesen 2019,,298.5,Slavenko et al. 2016,5
Dactyloidae,Anolis aeneus,reptile,1,1,Valido and Olesen 2019,,10.6,Slavenko et al. 2016,9
Dactyloidae,Anolis aliniger,reptile,1,1,Powell 2002,,4.5,Slavenko et al. 2016,12
Dactyloidae,Anolis allisoni,reptile,1,1,Valido and Olesen 2019,,20.4,Slavenko et al. 2016,18
Dactyloidae,Anolis altavelensis,reptile,1,1,iNaturalist,,2.2,Slavenko et al. 2016,0
Dactyloidae,Anolis alumina,reptile,1,1,Hertz 1976,,1.4,Slavenko et al. 2016,1
Dactyloidae,Anolis angusticeps,reptile,1,1,Powell and Henderson 2012,,3.1,Slavenko et al. 2016,15
Dactyloidae,Anolis armouri,reptile,1,1,Lenart et al. 1995,,8.4,Slavenko et al. 2016,1
Dactyloidae,Anolis bahorucoensis,reptile,1,1,Sifers et al. 2001,,2.8,Slavenko et al. 2016,3
Dactyloidae,Anolis baleatus,reptile,1,1,Schwartz et al. 1975,,114.9,Slavenko et al. 2016,2
Dactyloidae,Anolis barahonae,reptile,1,1,Goldberg et al. 1998,,100.5,Slavenko et al. 2016,1
Dactyloidae,Anolis barbatus,reptile,1,1,Valido and Olesen 2019,,97.1,Slavenko et al. 2016,2
Dactyloidae,Anolis barbouri,reptile,1,1,Howard et al. 1999,,3.5,Slavenko et al. 2016,5
Dactyloidae,Anolis bartschi,reptile,1,1,Valido and Olesen 2019,,10.6,Slavenko et al. 2016,4
Dactyloidae,Anolis bimaculatus,reptile,1,1,Valido and Olesen 2019,,39.3,Slavenko et al. 2016,3
Dactyloidae,Anolis brevirostris,reptile,1,1,Moster et al. 1995,,3.2,Slavenko et al. 2016,2
Dactyloidae,Anolis brunneus,reptile,1,1,Powell and Henderson 2012,,9.1,Slavenko et al. 2016,5
Dactyloidae,Anolis carolinensis,reptile,1,1,Valido and Olesen 2019,,8.7,Slavenko et al. 2016,1
Dactyloidae,Anolis chamaeleonides,reptile,1,1,Valido and Olesen 2019,,109.4,Slavenko et al. 2016,3
Dactyloidae,Anolis chlorocyanus,reptile,1,1,Ramos and Powell 2001,,10.6,Slavenko et al. 2016,4
Dactyloidae,Anolis christophei,reptile,1,1,Nicholson et al. 2012,,2.5,Slavenko et al. 2016,3
Dactyloidae,Anolis coelestinus,reptile,1,1,Valido and Olesen 2019,,12.2,Slavenko et al. 2016,4
Dactyloidae,Anolis conspersus,reptile,1,1,Valido and Olesen 2019,,9.1,Slavenko et al. 2016,1
Dactyloidae,Anolis cristatellus,reptile,1,1,Valido and Olesen 2019,,9.8,Slavenko et al. 2016,12
Dactyloidae,Anolis cuvieri,reptile,1,1,Valido and Olesen 2019,,114.8,Slavenko et al. 2016,1
Dactyloidae,Anolis cybotes,reptile,1,1,Valido and Olesen 2019,,11,Slavenko et al. 2016,2
Dactyloidae,Anolis distichus,reptile,1,1,Valido and Olesen 2019,,4.2,Slavenko et al. 2016,17
Dactyloidae,Anolis equestris,reptile,1,1,Valido and Olesen 2019,,134.6,Slavenko et al. 2016,8
Dactyloidae,Anolis etheridgei,reptile,1,1,Goldberg et al. 1998,,1.7,Slavenko et al. 2016,3
Dactyloidae,Anolis eugenegrahami,reptile,1,1,Goldberg et al. 1998,,7.8,Slavenko et al. 2016,1
